Position,Track Name,Artist,Streams,URL,Date,Region
123,DevuÃ©lveme El CorazÃ³n,Sebastian Yatra,21920,https://open.spotify.com/track/2uWg6P3lEsS1qQ2qg11TUx,08/12/2017,ar
124,DÃ©jate Llevar,Juan MagÃ¡n,21673,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,08/12/2017,ar
125,Nunca quise,Intoxicados,21670,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy,08/12/2017,ar
126,24K Magic,Bruno Mars,21481,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,08/12/2017,ar
127,That's What I Like,Bruno Mars,21397,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,08/12/2017,ar
128,Soy Peor,Bad Bunny,21270,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,08/12/2017,ar
129,Puti Short,De La Calle,21243,https://open.spotify.com/track/1KTnaTJgCt0F3WwMNjL5T6,08/12/2017,ar
130,La Bicicleta,Carlos Vives,21080,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,08/12/2017,ar
131,Si Tu Novio Te Deja Sola,J Balvin,21008,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX,08/12/2017,ar
132,How Long,Charlie Puth,20904,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,08/12/2017,ar
133,I Feel It Coming,The Weeknd,20794,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,08/12/2017,ar
134,Friends (with BloodPopÂ®),Justin Bieber,20765,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,08/12/2017,ar
135,No Me Olvides,La Beriso,20681,https://open.spotify.com/track/7LDUiraavMZ6mb8hK3mXkj,08/12/2017,ar
136,Spaghetti del Rock,Divididos,20501,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr,08/12/2017,ar
137,"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)",Bad Bunny,20479,https://open.spotify.com/track/0QQNA8bZqefrGfsShzlZkb,08/12/2017,ar
138,Lejos,Dame 5,20470,https://open.spotify.com/track/6Kk4fza1rX70tVY3ZZcsic,08/12/2017,ar
139,Crimen,Gustavo Cerati,20120,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp,08/12/2017,ar
140,Krippy Kush - Remix,Farruko,19948,https://open.spotify.com/track/038kavjqUaGIYZL5lYocvX,08/12/2017,ar
141,Safari,J Balvin,19936,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,08/12/2017,ar
142,Llamame Mas Temprano,Mano Arriba,19894,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk,08/12/2017,ar
143,Besarte,Rombai,19880,https://open.spotify.com/track/6Ar0Rcqv4AMonCshpAIheB,08/12/2017,ar
144,Es Tarde,Juanes,19788,https://open.spotify.com/track/3ktSe2NHl8RO1Fjh7mcvam,08/12/2017,ar
145,Diabla - Official Remix,Farruko,19691,https://open.spotify.com/track/2OxUtaKYeahAGNaBiahXtR,08/12/2017,ar
146,Tu No Metes Cabra,Bad Bunny,19629,https://open.spotify.com/track/10nQ3Pj0o1XotcikgJPVKD,08/12/2017,ar
147,Por Favor - Spanglish Version,Fifth Harmony,19530,https://open.spotify.com/track/2vHDurkzJ8dhCzoPzqiE2C,08/12/2017,ar
148,Dile Que Tu Me Quieres,Ozuna,19379,https://open.spotify.com/track/5u5MvmVtitax9R1Mxh3reC,08/12/2017,ar
149,Thunder,Imagine Dragons,19329,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,08/12/2017,ar
150,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,19114,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,08/12/2017,ar
151,Ropa Interior,Justin Quiles,18974,https://open.spotify.com/track/0Dou2nphs2oZYr7uOcW1YI,08/12/2017,ar
152,Una Cerveza,Rafaga,18882,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,08/12/2017,ar
153,The Scientist,Coldplay,18814,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,08/12/2017,ar
154,La Tonta,Jimena Baron,18770,https://open.spotify.com/track/5hea2qfpEQwgbW4cPK2c6n,08/12/2017,ar
155,Joga o Bum Bum Tamtam,MC Fioti,18497,https://open.spotify.com/track/7KBfjlQ85Fqs2MCCvXSW0c,08/12/2017,ar
156,23,Maluma,18462,https://open.spotify.com/track/6iHkZiRJcULoqasbboOgig,08/12/2017,ar
157,Gyal You A Party Animal - Remix,Charly Black,18415,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,08/12/2017,ar
158,Me Gusta,Ciro y los Persas,18317,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf,08/12/2017,ar
159,Ahora mirame,Ulises Bueno,18303,https://open.spotify.com/track/780CrNUSw5RrRWHSOf9sAA,08/12/2017,ar
160,Tu Novia,Lali,18278,https://open.spotify.com/track/7lVNnyDGPPGHo3XVvvuVZ5,08/12/2017,ar
161,Como TÃº,Luciano Pereyra,18243,https://open.spotify.com/track/7IwNPHjpZMkggv0qlh1rUO,08/12/2017,ar
162,Thinking Out Loud,Ed Sheeran,18238,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,08/12/2017,ar
163,El Equivocado,Mano Arriba,18126,https://open.spotify.com/track/5vy1C7DD9xJ5fRB3KqV6Kq,08/12/2017,ar
164,Madrugada,La Beriso,18013,https://open.spotify.com/track/4SGCn3ZVXa7bepHuAdQvC9,08/12/2017,ar
165,Sin Principio Ni Final,Abel Pintos,17849,https://open.spotify.com/track/6ihwy1c6tsMC6AWANIrhH2,08/12/2017,ar
